query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
SRR11125891,family,0.0011355989232839838,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae,028a6fec,-,0.00042001436178140287,270000,0.8755063758700702,73807
SRR11125891,family,0.0007991251682368775,d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae,028a6fec,-,0.0005555028655818554,190000,0.8694947358963101,73807
SRR11125891,family,0.0007570659488559892,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,028a6fec,-,0.00028452585798095033,180000,0.8685734368014595,73807
SRR11125891,family,0.0007570659488559892,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae,028a6fec,-,0.0004606609129215386,180000,0.8685734368014595,73807
SRR11125891,family,0.0006308882907133243,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3,028a6fec,-,0.0002303304564607693,150000,0.8654738890436661,73807
SRR11125891,family,0.0005467698519515478,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae,028a6fec,-,0.00024387930684081457,130000,0.8630488605981727,73807
SRR11125891,family,0.0005467698519515477,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,028a6fec,-,0.0007587356212825342,130000,0.8630488605981727,73807
SRR11125891,family,0.0005047106325706595,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272,028a6fec,-,0.00021678160608072406,120000,0.8616953981258715,73807
SRR11125891,family,0.0003785329744279946,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1750,028a6fec,-,0.00016258620456054303,90000,0.8568484085867073,73807
SRR11125891,family,0.0003785329744279946,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae,028a6fec,-,0.00014903735418049779,90000,0.8568484085867073,73807
SRR11125891,family,0.0003785329744279946,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829,028a6fec,-,0.00014903735418049779,90000,0.8568484085867073,73807
SRR11125891,family,0.00029441453566621804,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,028a6fec,-,0.0002709770076009051,70000,0.8526364738168479,73807
SRR11125891,family,0.00029441453566621804,d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508,028a6fec,-,0.00014903735418049779,70000,0.8526364738168479,73807
SRR11125891,family,0.00025235531628532975,d__Bacteria;p__Bacillota;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae,028a6fec,-,8.129310228027151e-05,60000,0.8500632177857105,73807
SRR11125891,family,0.00025235531628532975,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Maliibacteriaceae,028a6fec,-,0.00012193965342040727,60000,0.8500632177857105,73807
SRR11125891,family,0.00025235531628532975,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae,028a6fec,-,0.00010839080304036203,60000,0.8500632177857105,73807
SRR11125891,family,0.00021029609690444146,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae,028a6fec,-,6.774425190022627e-05,50000,0.8470297246704097,73807
SRR11125891,family,0.47034825033647343,unclassified,028a6fec,-,0.3152817483436531,111830000,,73807
SRR11125891,genus,0.06885094212651413,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus,028a6fec,-,0.02704350535857033,16370000,0.9488857385118675,73807
SRR11125891,genus,0.02464670255720054,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,028a6fec,-,0.0208381318845096,5860000,0.9299634057057057,73807
SRR11125891,genus,0.020314602960969052,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas,028a6fec,-,0.029617786930778923,4830000,0.9264452763899929,73807
SRR11125891,genus,0.017496635262449534,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,028a6fec,-,0.008779655046269324,4160000,0.923736550577748,73807
SRR11125891,genus,0.016697510094212654,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus,028a6fec,-,0.06277182381074967,3970000,0.9228901985176527,73807
SRR11125891,genus,0.01358512786002692,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia,028a6fec,-,0.02720609156313087,3230000,0.9191648466888609,73807
SRR11125891,genus,0.012996298788694483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,028a6fec,-,0.007926077472326473,3090000,0.9183665826186117,73807
SRR11125891,genus,0.012617765814266487,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia,028a6fec,-,0.011502973972658419,3000000,0.9178344659308624,73807
SRR11125891,genus,0.01080921938088829,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus,028a6fec,-,0.007844784370046202,2570000,0.9150544716864322,73807
SRR11125891,genus,0.010178331090174967,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella,028a6fec,-,0.01684122102239625,2420000,0.9139760904771604,73807
SRR11125891,genus,0.010136271870794078,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,028a6fec,-,0.009755172273632581,2410000,0.9139018859309354,73807
SRR11125891,genus,0.010094212651413192,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides,028a6fec,-,0.007072499898383622,2400000,0.9138273789032101,73807
SRR11125891,genus,0.009379205921938088,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger,028a6fec,-,0.0056634194588589155,2230000,0.912511928666991,73807
SRR11125891,genus,0.0093371467025572,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFEL01,028a6fec,-,0.006869267142682943,2220000,0.9124315168354757,73807
SRR11125891,genus,0.008453903095558546,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Limousia,028a6fec,-,0.1345536331242294,2010000,0.9106553933166402,73807
SRR11125891,genus,0.008243606998654104,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter,028a6fec,-,0.019266465240424354,1960000,0.9102057075981914,73807
SRR11125891,genus,0.008159488559892328,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1,028a6fec,-,0.041744008020919425,1940000,0.9100226764936538,73807
SRR11125891,genus,0.007823014804845221,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella,028a6fec,-,0.027165445011990735,1860000,0.9092715669002684,73807
SRR11125891,genus,0.007612718707940781,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus,028a6fec,-,0.008942241250829867,1810000,0.908785866764606,73807
SRR11125891,genus,0.007570659488559893,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02,028a6fec,-,0.008156407928787242,1800000,0.9086871498201964,73807
SRR11125891,genus,0.007444481830417227,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium_A,028a6fec,-,0.05056430961832888,1770000,0.9083877400909016,73807
SRR11125891,genus,0.007318304172274562,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,028a6fec,-,0.003847873507932852,1740000,0.908083313197972,73807
SRR11125891,genus,0.006855652759084792,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E,028a6fec,-,0.009497744116411723,1630000,0.9069212638223126,73807
SRR11125891,genus,0.006771534320323015,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola,028a6fec,-,0.00319752868969068,1610000,0.9067017472357565,73807
SRR11125891,genus,0.006519179004037685,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-1024,028a6fec,-,0.007329928055604482,1550000,0.9060267858293787,73807
SRR11125891,genus,0.006477119784656796,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,028a6fec,-,0.004132399365913802,1540000,0.9059118074096504,73807
SRR11125891,genus,0.005846231493943473,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola,028a6fec,-,0.0038207758071727607,1390000,0.9040933088478977,73807
SRR11125891,genus,0.005846231493943472,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173,028a6fec,-,0.004674353381115612,1390000,0.9040933088478977,73807
SRR11125891,genus,0.00567799461641992,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,028a6fec,-,0.0031839798393106344,1350000,0.9035758342449587,73807
SRR11125891,genus,0.005383580080753701,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor_A,028a6fec,-,0.0031433332881704986,1280000,0.9026329842162978,73807
SRR11125891,genus,0.005341520861372813,d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,028a6fec,-,0.002316853414987738,1270000,0.9024941809548443,73807
SRR11125891,genus,0.005215343203230148,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia,028a6fec,-,0.002736867776769141,1240000,0.902071248839906,73807
SRR11125891,genus,0.0050891655450874835,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,028a6fec,-,0.002885905130949639,1210000,0.901638163717718,73807
